interaction_id,time_of_day,device,location
1,Evening,Tablet,Mumbai
2,Evening,Mobile,Bangalore
3,Morning,Desktop,Mumbai
4,Evening,Tablet,Mumbai
5,Night,Desktop,Delhi
6,Night,Desktop,Delhi
7,Afternoon,Mobile,Hyderabad
8,Morning,Mobile,Bangalore
9,Morning,Mobile,Delhi
10,Evening,Desktop,Mumbai
11,Morning,Tablet,Delhi
12,Evening,Mobile,Hyderabad
13,Evening,Mobile,Hyderabad
14,Morning,Mobile,Hyderabad
15,Afternoon,Desktop,Bangalore
16,Evening,Mobile,Delhi
17,Night,Desktop,Bangalore
18,Night,Mobile,Bangalore
19,Morning,Mobile,Delhi
20,Morning,Mobile,Hyderabad
21,Evening,Desktop,Bangalore
22,Evening,Mobile,Hyderabad
23,Night,Tablet,Mumbai
24,Evening,Mobile,Bangalore
25,Night,Mobile,Mumbai
26,Evening,Mobile,Hyderabad
27,Afternoon,Tablet,Chennai
28,Afternoon,Desktop,Hyderabad
29,Night,Mobile,Mumbai
30,Afternoon,Desktop,Bangalore
31,Afternoon,Mobile,Delhi
32,Morning,Mobile,Hyderabad
33,Evening,Mobile,Chennai
34,Morning,Desktop,Mumbai
35,Night,Mobile,Delhi
36,Morning,Mobile,Chennai
37,Night,Mobile,Mumbai
38,Afternoon,Mobile,Delhi
39,Morning,Mobile,Bangalore
40,Afternoon,Mobile,Mumbai
41,Evening,Mobile,Hyderabad
42,Afternoon,Tablet,Delhi
43,Evening,Mobile,Bangalore
44,Afternoon,Mobile,Bangalore
45,Morning,Mobile,Hyderabad
46,Morning,Mobile,Mumbai
47,Afternoon,Desktop,Delhi
48,Night,Mobile,Delhi
49,Night,Desktop,Delhi
50,Evening,Desktop,Chennai
51,Evening,Desktop,Delhi
52,Afternoon,Mobile,Chennai
53,Morning,Mobile,Chennai
54,Evening,Mobile,Delhi
55,Afternoon,Desktop,Delhi
56,Evening,Mobile,Bangalore
57,Morning,Mobile,Mumbai
58,Evening,Mobile,Bangalore
59,Afternoon,Desktop,Mumbai
60,Evening,Desktop,Mumbai
61,Night,Mobile,Mumbai
62,Evening,Mobile,Delhi
63,Morning,Mobile,Bangalore
64,Morning,Mobile,Hyderabad
65,Morning,Desktop,Bangalore
66,Morning,Desktop,Hyderabad
67,Afternoon,Desktop,Bangalore
68,Evening,Mobile,Hyderabad
69,Evening,Desktop,Mumbai
70,Evening,Tablet,Mumbai
71,Evening,Tablet,Chennai
72,Afternoon,Desktop,Chennai
73,Morning,Mobile,Mumbai
74,Evening,Desktop,Bangalore
75,Evening,Desktop,Bangalore
76,Morning,Desktop,Delhi
77,Night,Mobile,Delhi
78,Night,Tablet,Bangalore
79,Morning,Mobile,Delhi
80,Evening,Mobile,Mumbai
81,Morning,Mobile,Hyderabad
82,Evening,Desktop,Delhi
83,Evening,Mobile,Chennai
84,Night,Mobile,Hyderabad
85,Night,Desktop,Bangalore
86,Evening,Desktop,Mumbai
87,Evening,Desktop,Chennai
88,Evening,Mobile,Chennai
89,Night,Desktop,Delhi
